_id,que,choiceA,choiceB,choiceC,choiceD,choiceE,kind,type,source,answer,detail
10011,骨骼肌纤维的肌膜向内凹陷形成,终池,横小管,肌浆网,纵小管,空,组织胚胎学,单选,十门联考,B,横小管是肌膜向肌浆内凹陷形成的管状结构；肌浆网是肌纤维中特化 的滑面内质网；肌浆网中部纵行包绕一段肌原纤维，称纵小管；两端 扩大呈扁囊状，称终池。
10012,一个肺小叶的组成是,一个终末细支气管及其分支和肺泡,一个细支气管及其分支和肺泡,一个呼吸性细支气管及其分支和肺泡,一个小支气管及其分支和肺泡,空,组织胚胎学,单选,十门联考,B,每一细支气管连同它的分支和肺泡，组成一个肺小叶。
10013,骨质的结构呈,板层状,条索状,均质状,团块状,空,组织胚胎学,单选,十门联考,A,骨基质简称骨质，骨质的结构形成经历了编织骨和板层骨的转变。编织骨是胚胎时期和 5 岁以内儿童的骨质形势。之后被板层骨取代
10014,卵黄蒂近端未退化将形成,脐尿瘘,脐粪瘘,先天性脐疝,回肠憩室,空,组织胚胎学,单选,十门联考,D,梅克尔憩室又称回肠憩室，是由于卵黄蒂近端未退化所致。脐尿瘘由 于脐尿管未闭锁。脐粪瘘又称脐瘘，是由于卵黄蒂未退化。先天性脐 疝是由于脐腔未闭锁导致脐带根部残留一孔与腹腔相通。
10015,一般情况下，肾小体滤过膜能通过的物质分子量为,7万,10万,25万,50万,空,组织胚胎学,单选,十门联考,A,肾小体犹如滤过器，血浆内部分物质经有孔内皮、基膜和足细胞裂孔 膜滤入肾小囊腔。这三层结构统称滤过屏障或滤过膜。一般情况下， 分子量 70kD 以下、直径 4nm 以下的物质可通过滤过膜
10016,毛细血管的分类依据是,毛细血管的光镜结构,毛细血管的电镜结构 ,内皮细胞的光镜结构,内皮细胞的电镜结构,空,组织胚胎学,单选,十门联考,D,根据电镜下内皮细胞的结构特征，毛细血管可分为三类，连续毛细血 管、有孔毛细血管和血窦（窦状毛细血管）。
10017,神经元尼氏体分布在,胞体和轴突,胞体和树突,树突和轴突,胞体内,空,组织胚胎学,单选,十门联考,B,胞体里含有尼氏体，尼氏体主要合成更新细胞器所需的结构蛋白、合 成神经递质所需的酶类以及钛类的神经递质。树突内胞质的结构与胞 体相似。轴突无尼氏体。
10018,中枢神经系统的髓鞘形成细胞是,星形胶质细胞,少突胶质细胞,小胶质细胞,室管膜细胞,空,组织胚胎学,单选,十门联考,B,星形胶质细胞是最大对的一种神经胶质细胞，起支持和绝缘作用。少 突胶质细胞是中枢神经系统的髓鞘形成细胞。小胶质细胞是最小的神 经胶质细胞，具有吞噬作用。室管膜细胞形成单层上皮样的室管膜。
10019,透明软骨、弹性软骨和纤维软骨结构的主要区别在于,软骨细胞类型,无定形基质,纤维类型,软骨细胞和纤维类型,空,组织胚胎学,单选,十门联考,C,软骨类型依据含有的纤维成分不同，透明软骨纤维成分主要是Ⅱ型胶 原蛋白组成的胶原原纤维。弹性软骨所含纤维成分为弹性纤维。纤维 软骨有大量的平行或交叉排列的胶原纤维束。
10020,食道的上皮为,角化的复层扁平上皮,非角化的复层扁平上皮,单层柱状上皮,变移上皮,空,组织胚胎学,单选,十门联考,B,见书本第10页表2-1
10021,肺泡管的上级管道是,终末细支气管,呼吸性细支气管,肺泡囊,细支气管,空,组织胚胎学,单选,十门联考,B,细支气管（第 11-13 级）终末细支气管（第 14-16 级）呼吸性细支气 管（第 17-19 级）、肺泡管（第 20-22 级）肺泡囊（第 23 级）
10022,膀胱来源于,尿囊,尿生殖窦上段,尿生殖窦中段,中肾管尾段,空,组织胚胎学,单选,十门联考,B,A 项尿囊尿囊成为脐尿管，闭锁后形成脐中韧带 BCD 项，尿生殖窦分为 三段，上段发育为膀胱，中段，在男性形成尿道前列腺部和膜部，在 女性形成尿道。下段在男性形成尿道海绵体部，在女性扩大为阴道前庭。D 项，第五周初中肾管末端近泄殖腔处向背侧头端发出一盲管称输 尿管芽，它伸入中肾嵴尾端，形成生后肾组织，最终形成输尿管、肾 盂、肾盏、集合管。
10023,成纤维细胞转变为纤维细胞表示其,功能旺盛,功能静止,进入衰老状态,准备分裂增生,空,组织胚胎学,单选,十门联考,B,"成纤维细胞功能处于静止状态时称纤维细胞, 在创伤等情况下，纤维 细胞可逆转为成纤维细胞。"
10024,子宫内膜增生期的描述错误的是,为月经周期的第5-14天,子宫腺上皮增生迅速,子宫腺极度弯曲，腺腔内含分泌物,螺旋动脉增生增长弯曲,空,组织胚胎学,单选,十门联考,C,C 项中，腺腔内含分泌物是分泌期
10025,夜盲症是因为,维生素A缺乏,视色素缺乏,晶状体弹性减弱,玻璃体混浊,空,组织胚胎学,单选,十门联考,A,维生素 A 是合成 11-顺视黄醛的原料。当人体维生素 A 不足时，视紫红 质缺乏，导致弱光视力减退，即夜盲症
10026,感受身体或头部的旋转变速运动的是,壶腹嵴,位觉斑,膜半规管,螺旋器,空,组织胚胎学,单选,十门联考,A,壶腹嵴、椭圆囊斑和球囊斑是位觉感受器。A 项，壶腹嵴感受身体或头 部的旋转变速运动，B 项，椭圆囊斑和球囊斑统称位觉斑，感受身体的 直线变速运动和静止状态，C 项膜半规管嵌于半规管内，膜性壶腹部骨 膜和上皮局部增厚，形成横行的山嵴状隆起称壶腹嵴，D 项螺旋器是听觉感受器
10027,参与细胞免疫的最主要的细胞是,巨噬细胞,T细胞,B淋巴细胞,单核细胞细胞内的颗粒,空,组织胚胎学,单选,十门联考,B,T 细胞参与的免疫称细胞免疫，B 细胞介导的免疫称体液免疫。巨噬细 胞属于抗原呈递细胞。单核细胞内含许多细小的淡紫色嗜天青颗粒即 溶酶体
10028,与相伴行的动脉比较，静脉结构不正确的是,三层膜界限清楚,管腔较大,管壁较薄,管壁易塌陷,空,组织胚胎学,单选,十门联考,A,与相伴的动脉相比，静脉数量多管径粗，管壁薄，管腔扁或不规则， 无明显的内、外弹性膜，故三层膜分界不清，静脉腔大，壁薄，中膜 薄，外膜厚，中膜的平滑肌纤维和弹性组织较少，结缔组织成分较多， 故静脉常呈塌陷状
10029,初级性索上皮细胞形成,卵泡细胞,睾丸支持细胞,睾丸间质细胞,精原细胞,空,组织胚胎学,单选,十门联考,B,A 项，皮质索上皮细胞分化成卵泡细胞，B 项，初级性索上皮细胞演变 成睾丸支持细胞，C 项，睾丸索之间的间充质细胞分化为睾丸间质细胞 并分泌雄激素。D 项，原始生殖细胞则增值分化为精原细胞。
10030,关于Ⅱ型肺泡细胞哪项错误,是一种立方或圆形的细胞,含板层小体,可由Ⅰ型肺泡细胞分化而来,覆盖了肺泡约5%的表面积,空,组织胚胎学,单选,十门联考,C,Ⅱ型肺泡细胞：细胞呈立方或圆形，散在凸起于 I 型肺泡细胞之间。 覆盖肺泡约 5%的表面积。核上方有较多高电子密度的分泌颗粒，因颗 粒内呈现同心圆或平行排列的板层状结构，称板层小体。C 项，I 型肺 泡上皮细胞无增殖能力，损伤后由Ⅱ型肺泡细胞增殖分化补充
10031,精子真正获得功能上成熟的部位在,生精小管,直精小管,附睾管,睾丸网,空,组织胚胎学,单选,十门联考,C,精子在附睾内停留 8-17 天，并经历一系列成熟变化，获得运动能力， 达到功能上的成熟。A 项，在生精小管内，精子发生、精子形成。来自 生精小管的精子经直精小管和睾丸网运出睾丸，进入附睾
10032,有关消化管的叙述，错误的是,一般分四层,两端的上皮为复层扁平上皮,胃的上皮为单层柱状上皮,肌层的肌纤维排列一般为内纵外环,空,组织胚胎学,单选,十门联考,D,消化管（除口腔与咽外）自内向外分为黏膜、黏膜下层、肌层与外膜 四层。A 项正确。消化管上皮两端为复层扁平上皮，以保护功能为主， 余为单层柱状上皮以消化吸收功能为主，如胃、小肠、大肠。BC 项正 确。肌层一般分为内环行、外纵行两层。故 D 项错误
10033,分泌物是粘液的腺是,舌下腺,腮腺,睑板腺,汗腺,空,组织胚胎学,单选,十门联考,A,腮腺分泌物中含唾液淀粉酶；颌下腺分泌物浆液为主；舌下腺分泌物 黏液为主；睑板腺是皮脂腺。汗腺分泌的汗液中除了大量水分还有钠钾氯、乳酸盐和尿酸
10034,咽鼓管由下列哪个结构发育而来,第1对咽囊,第2对咽囊,第3对咽囊,第4对咽囊,空,组织胚胎学,单选,十门联考,A,第 1 对咽囊演化成咽鼓管，第 2 对咽囊演化成腭扁桃体，第 3 对咽囊 分化为下一对甲状旁腺，第 4 对咽囊形成上一对甲状旁腺
10035,与过敏反应有关的两种细胞是,成纤维细胞和巨噬细胞,单核细胞和肥大细胞,肥大细胞和嗜碱性粒细胞,肥大细胞和成纤维细胞,空,组织胚胎学,单选,十门联考,C,肥大细胞和嗜碱性粒细胞与过敏反应有关。肥大细胞释放的组胺和白 三烯可引起过敏反应，嗜碱性粒细胞与肥大细胞的分泌物相同，作用 也基本相同，这两种细胞均来源于骨髓中的同种造血祖细胞。而嗜酸 性粒细胞则抑制过敏反应
10036,甲状腺滤泡腔内的胶质是,嗜碱性物质,碘化的甲状腺球蛋白,T4,T3,空,组织胚胎学,单选,十门联考,B,甲状腺滤泡腔内充满透明的胶质，胶质是滤泡上皮细胞的分泌物，即 碘化的甲状腺球蛋白
10037,间皮分布于,气管,食管,膀胱,胸膜、腹膜和心包膜,空,组织胚胎学,单选,十门联考,D,单层扁平上皮：衬贴在心血管和淋巴管腔面的单层扁平上皮称内皮； 分布在胸膜、腹膜和心包膜表面的单层扁平上皮称间皮。食管表面是 复层扁平上皮，气管表面是假复层纤毛柱状上皮，膀胱表面是变移上皮
10038,关于淋巴小结的叙述错误的是,又称淋巴滤泡,球形,含有大量B淋巴细胞,有生发中心的称初级淋巴小结,空,组织胚胎学,单选,十门联考,D,淋巴小结又称淋巴滤泡，为直径 1-2mm 的球形小体，有较明确的界限， 含大量 B 细胞和一定量的 Th 细胞、滤泡树突状细胞、巨噬细胞。淋巴 小结受抗原刺激后增大，并产生生发中心，无生发中心的淋巴小结较 小，称初级淋巴小结，有生发中心的称次级淋巴小结。
10039,肌纤维的滑面内质网特称,肌浆网,横小管,纵小管,终池,空,组织胚胎学,单选,十门联考,A,肌浆网是肌纤维中特化的滑面内质网，位于横小管之间。其中部纵行 包绕一段肌原纤维称纵小管，两端扩大呈扁囊状称终池。
10040,合成和分泌免疫球蛋白的细胞是,成纤维细胞,浆细胞,巨噬细胞,肥大细胞,空,组织胚胎学,单选,十门联考,B,在抗原呈递细胞和 Th 细胞的协助下，B 细胞大部分称为效应 B 细胞， 即浆细胞，分泌可溶性免疫球蛋白即抗体，进入体液而执行免疫功能， 故 B 细胞介导的免疫称体液免疫
10041,足细胞是指,血管球内皮细胞,肾小囊脏层细胞,球内系膜细胞,球外系膜细胞,肾小管上皮细胞,组织胚胎学,单选,十门联考,B,肾小囊外层（壁层）为单层扁平上皮，内层（脏层）细胞称足细胞。
10042,白内障是由于,角膜不透明,晶状体浑浊,玻璃体变性,房水减少,空,组织胚胎学,单选,十门联考,B,晶状体弹性减退，透明度降低，导致浑浊形成老年性白内障。D 选项房水减少，引起眼压升高，导致视力受损，称青光眼。
10043,人胰腺内分泌胰岛素的细胞是,PP细胞,D细胞,B细胞,A细胞,空,组织胚胎学,单选,十门联考,C,PP 细胞分泌胰多肽，具有抑制胃肠运动、胰液分泌及胆囊收缩的作用。 D 细胞分泌生长抑素。B 细胞分泌胰岛素。A 细胞分泌高血糖素。
10044,构成口咽膜与泄殖腔膜的是,外胚层和中胚层,中胚层和内胚层,外胚层和内胚层,内胚层和胚外中胚层,空,组织胚胎学,单选,十门联考,C,在脊索的头侧和原条的尾侧，各有一个无中胚层的小区，此处内、外 胚层相贴，呈薄膜状，分别称口咽膜和泄殖腔膜。
10045,最需要注意避孕的时期为月经周期中,增生期,分泌期,第8-12天,第12-16天,空,组织胚胎学,单选,十门联考,D,正常排卵发生在月经周期的第 14 天左右。
10046,组织的构成是,细胞和细胞外基质,纤维和基质,细胞和体液,细胞和组织液,空,组织胚胎学,单选,十门联考,A,组织由细胞群和细胞外基质构成。
10047,新生动物切除胸腺后，其淋巴结的哪个部分不发育,浅层皮质,副皮质区,皮质淋巴窦,髓索,髓窦,组织胚胎学,单选,十门联考,B,淋巴结实质分为皮质和髓质两部分。皮质包括浅层皮质、副皮质区和 皮质淋巴窦。副皮质区位于皮质深层，给新生动物切除胸腺后，此区 不发育，故又称胸腺依赖区
10048,在颜面形成早期，鼻板出现于,额鼻突的上部,额鼻突的下部,额鼻突的中部,上颌突的上部,空,组织胚胎学,单选,十门联考,B,在额鼻突的下部两侧，局部表面外胚层增厚，形成左右一对鼻板
10049,胚胎时期能分泌抗中肾旁管激素的细胞是,睾丸的支持细胞,睾丸的间质细胞,卵巢的卵原细胞,卵巢的卵泡细胞,空,组织胚胎学,单选,十门联考,A,胚胎时期，睾丸的支持细胞产生抗中肾旁管激素，使中肾旁管退化。睾丸间质细胞分泌雄激素，促使附睾管、输精管、精囊和射精管的形 成
10050,红细胞的形态为,不规则形,球形,双凸圆盘状,双凹圆盘状,空,组织胚胎学,单选,十门联考,D,红细胞在电镜下呈双凹圆盘状。血小板呈双凸圆盘状，当受到刺激时， 呈不规则形。白细胞是有核的球形细胞。
10051,巨噬细胞来源于,中性粒细胞,单核细胞,间质细胞,巨核细胞,空,组织胚胎学,单选,十门联考,B,巨噬细胞是由血液单核细胞穿出血管进入结缔组织后分化形成的。
10052,生精细胞中进行第二次减数分裂的是,精原细胞,初级精母细胞,次级精母细胞,精子细胞,空,组织胚胎学,单选,十门联考,C,精原细胞分 A、B 两型，A 型精原细胞是生精细胞的干细胞，B 型精原 细胞分化为初级精母细胞。初级精母细胞进行第一次减数分裂。次级 精母细胞进入第二次减数分裂，产生两个精子细胞。
10053,以下哪种蛋白质不参与组成细肌丝,肌动蛋白,原肌球蛋白,肌钙蛋白,肌球蛋白,空,组织胚胎学,单选,十门联考,D,细肌丝由肌动蛋白、原肌球蛋白和肌钙蛋白组成。粗肌丝由肌球蛋白 分子组成。
10054,分泌类固醇激素细胞的特点是,有丰富的滑面内质网,有丰富的粗面内质网 ,有丰富的高尔基复合体,有分泌颗粒,空,组织胚胎学,单选,十门联考,A,按其化学性质分为含氮激素分泌细胞和类固醇激素分泌细胞。前者 结构特点为胞质内含有与合成含氮激素相关的粗面内质网和高尔基复合体，以及分泌颗粒。后者结构特点为含有与合成类固醇激素相关的 丰富的滑面内质网
10055,在支气管树中，肺泡最早出现于,细支气管,终末支气管,呼吸性细支气管,肺泡管,空,组织胚胎学,单选,十门联考,C,主支气管（支气管树）经肺门进入，顺序为叶支气管、段支气管、小 支气管、细支气管、终末细支气管、呼吸性细支气管、肺泡管、肺泡 囊和肺泡。从叶支气管到终末细支气管为导气部，无肺泡。呼吸性细 支气管以下各段均不同程度地出现肺泡，为呼吸部。故肺泡最早出现 在呼吸性细支气管。
10056,下列哪类血管的内弹性膜最明显,大动脉,中动脉,大静脉,中静脉,空,组织胚胎学,单选,十门联考,B,中动脉的内膜与中膜交界处有 1～2 层明显的内弹性膜。小动脉一般内 弹性膜明显。静脉无明显的内、外弹性膜。
10057,生长卵泡包括,原始卵泡和初级卵泡,初级卵泡和次级卵泡,次级卵泡和成熟卵泡,初级卵泡和成熟卵泡,空,组织胚胎学,单选,十门联考,B,一个卵泡可分为原始卵泡、初级卵泡、次级卵泡和成熟卵泡四个阶段。 初级卵泡和次级卵泡合称为生长卵泡。
10058,中枢神经系统中具有吞噬功能的神经胶质细胞是,星状胶质细胞,少突胶质细胞,小胶质细胞,室管膜细胞,空,组织胚胎学,单选,十门联考,C,星形胶质细胞是最大对的一种神经胶质细胞，起支持和绝缘作用。少突胶质细胞是中枢神经系统的髓鞘形成细胞。小胶质细胞是最小的神 经胶质细胞，具有吞噬作用。室管膜细胞形成单层上皮样的室管膜。
10059,胎盘,由母体的包蜕膜与胎儿的丛密绒毛膜组成,内有母体和胎儿两套血循环，两者可互通，以利物质交换,除血细胞外，所有的物质均可经胎盘进行物质交换,胎盘可产生多种激素,空,组织胚胎学,单选,十门联考,D,胎盘是由胎儿的丛密绒毛膜与母体的基蜕膜共同组成的圆盘形结构， 故 A 错。胎盘内有母体和胎儿两套血液循环系统，母体和胎儿的血液 在各自的封闭管道内循环，互不相混，但可进行物质交换，故 B 错。 并非所有物质都可经胎盘交换，如血液，故 C 错。胎盘的功能之一是 内分泌功能，及分泌数种激素。故选 D。
10060,与腋臭形成有关的是,皮脂腺,外泌汗腺,顶泌汗腺,毛母质,空,组织胚胎学,单选,十门联考,C,汗腺又称外泌汗腺，是机体散热的主要方式
10061,以下哪项不是有孔毛细血管的结构特征,内皮细胞的基膜完整,胞质上有许多内皮窗孔,通透性最大,分布于胃肠粘膜、肾血管球等处,空,组织胚胎学,单选,十门联考,C,有孔毛细血管的结构特征是基膜完整，内皮窗孔，有利于血管内外中、 小份子的物质交换。血窦基膜不完整，内皮细胞间隙大，通透性最大。
10062,有关垂体神经部，何项为错？,含有大量无髓神经纤维,含有丰富的毛细血管,有赫令体,能合成催产素,空,组织胚胎学,单选,十门联考,D,神经垂体部主要由无髓神经纤维和神经胶质细胞组成，含丰富的有空 毛细血管，神经核的神经内分泌细胞分泌的分泌颗粒沿轴突被运送到神经部，聚集成团，在光镜下呈现嗜酸性团块称为赫令体。神经核的 神经内分泌细胞合成血管升压素和催产素。
10063,与动脉相比，以下静脉的特点哪项错误,三层膜分界不明显,管腔较小,管壁较薄，弹性较小,管壁结构差异较大,空,组织胚胎学,单选,十门联考,B,动脉管径窄，管壁厚弹性好，三层分膜分界明显。静脉管径粗，管壁 薄，无明显内外膜，管壁结构差异大。
10064,卵丘不包含,颗粒细胞,初级卵母细胞,透明带,放射冠,部分卵母细胞,组织胚胎学,单选,十门联考,A,卵丘是由于卵泡腔的扩大，致使初级卵母细胞与其周围的卵母细胞居 于卵泡腔的一侧，形成一个圆形隆起突入卵泡腔。分布于卵泡腔周围 的的卵泡细胞排列密集称颗粒层，构成卵泡壁，卵泡细胞改称颗粒细 胞。
10065,癌细胞等可产生哪种物质破坏基质的分子筛,透明质酸酶,胶原蛋白酶,碱性磷酸酶,酸性磷酸酶,空,组织胚胎学,单选,十门联考,A,基质的主要成分蛋白聚糖由氨基聚糖和蛋白质组成，有一类氨基聚糖 为透明质酸，癌细胞能产生透明质酸酶，破坏机制结构
10066,有关大肠的叙述，何项为错？,有皱襞,无绒毛,上皮中杯状细胞多,黏膜下层有腺体,空,组织胚胎学,单选,十门联考,D,大肠的黏膜固有层有稠密的大肠腺，黏膜表面光滑无绒毛，有皱襞。
10067,具有屏障作用的细胞连接是,桥粒,缝隙连接,中间连,紧密连接,空,组织胚胎学,单选,十门联考,D,四个答案都是上皮细胞的侧面结构，桥粒具有固定与支持结构，缝隙连接是细胞与细胞直接交通的管道，中间连接又称粘合带，粘着作用、 保持细胞形态、传递细胞收缩力，紧密连接具有屏障作用。
10068,突触不包含以下何种接触点,神经元与肌细胞之间,神经元与腺细胞之间,神经元与神经元之间,神经元与神经胶质细胞之间,空,组织胚胎学,单选,十门联考,D,神经元与神经元之间，或神经元与效应细胞之间传递信息的结构称突 触。
10069,消化管由内向外依次分为,黏膜、粘膜下层、肌层与外膜,黏膜、肌层与外膜,黏膜、固有层、肌层与外膜,皮、粘膜下层、肌层与外膜,空,组织胚胎学,单选,十门联考,A,消化管壁（除口腔和咽外）自内向外分为黏膜、黏膜下层、肌层、外 膜四层
10070,呆小症发生有关的是,甲状腺素,甲状腺旁素,降钙素,生长激素,空,组织胚胎学,单选,十门联考,A,甲状腺素能促进机体新陈代谢，提高神经兴奋性，促进生长发育。小 儿甲状腺功能低下，甲状腺素分泌不足，导致身材矮小，脑发育障碍， 为呆小症
10071,以下哪一项不存在与窦周隙,贮脂细胞,肝细胞微绒毛,网状纤维,库普弗细胞,空,组织胚胎学,单选,十门联考,D,肝血窦内有定居的肝巨噬细胞。窦周隙为肝血窦内皮与肝板之间的狭 窄间隙。
10072,区分三种有粒白细胞的主要依据是,细胞大小,细胞数量,细胞核形态,胞质内是否含有特殊颗粒,细胞质嗜色性,组织胚胎学,单选,十门联考,D,根据白细胞胞质内有无特殊颗粒，可将其分为有粒细胞与无粒细胞。前者又根据其特殊颗粒的染色性，分为中性粒细胞、嗜酸性粒细胞、 嗜碱性粒细胞。问 题 为 区 分三 种 有 粒 细 胞的依据，原 答 案 D 选 项 只 是 区 别 有 粒和无粒，故 无正确答案
10073,双子宫是由于,两侧中肾旁管下段未融合,两侧中肾管下段未融合,输尿管芽过早分支,窦结节未形成阴道般,空,组织胚胎学,单选,十门联考,A,中肾旁管上段和中段演化为输卵管。下段左右合并后其间隔组织消失， 管腔融合，演变为子宫和阴道穹窿部。左右中肾旁管下段未融合可导 致双子宫。C：输尿管芽过早分支形成双输尿管，P254；D：窦结节未 形成阴道板导致阴道闭锁。
10074,腺垂体内没有的细胞,神经内分泌细胞,嗜酸性细胞,嗜碱性细胞,嫌色细胞,空,组织胚胎学,单选,十门联考,A,腺垂体的远侧部由腺细胞排列成团索状，在 HE 染色切片中依据腺细胞 染色的差异分为嫌色细胞，嗜酸性细胞，嗜碱性细胞。A：下丘脑的弓状核等神经元，具有内分泌功能，称为神经内分泌细胞。
10075,关于胃底腺壁细胞的描述，错误的是,体积大，多呈圆锥形,核圆而深染，居中,胞质嗜酸性,电镜下，胞质中有细胞内分泌小管,分泌胃蛋白酶原,组织胚胎学,单选,十门联考,E,主细胞主要分泌胃蛋白酶原。壁细胞又称泌酸细胞，在胃底腺的上半 部较多，体积大，多为圆锥形，核圆而深染，居中，胞质均匀嗜酸性， 电镜下胞质中有迂曲分支的细胞内分泌小管。
10076,分泌胆汁的细胞是,胆管上皮细胞,库普弗细胞,肝细胞,贮脂细胞,空,组织胚胎学,单选,十门联考,C,肝细胞胞质细胞器丰富，肝细胞摄取的有机物在滑面内质网进行连续 的合成、分解、结合、转化等反应，包括胆汁合成。B：弗库思细胞即 巨噬细胞，具有清除从门静脉入肝的抗原异物、清除衰老的血细胞和 监视肿瘤的作用，P163。D：位于窦周隙内，在肝脏中主要参与维生素 A 的代谢，和储存脂肪，P163
10077,光镜技术中经典而最常用的技术是,石蜡切片术,冰冻切片术,火棉胶包埋切片术,涂片术,空,组织胚胎学,单选,十门联考,A,石蜡切片术是经典而最常用的技术。基本程序为取材固定、脱水包埋、 切片染色和封片。B：冰冻切片主要用于在要进行某些组织化学反应的 标本，可保存蛋白质的结构和活性，P4。C：在制作较大组织如眼球和 脑的切片时，常用火棉胶包埋切片术，P4。D：将游离的细胞如血细胞直接涂于玻片即涂片术，P4。
10078,电镜下，突触的组成不包括,突触前成分,突触间隙,突触后成分,粗面内质网与游离核糖体,空,组织胚胎学,单选,十门联考,D,电镜下，突触由突触前成分、突触间隙和突触后成分三部分组成。
10079,致畸敏感期是,受精后1-2周,受精后3-8周,受精后1-2月,受精后3-8月,空,组织胚胎学,单选,十门联考,B,致畸敏感期为受到致畸因子作用后最易发生畸形的发育时期。在胚胎第 3-8 周，胚体内细胞增殖分化活跃，最易受到致畸因子的干扰而发生畸形
10080,贮脂细胞的功能之一是,合成维生素A,贮存维生素A,贮存胆汁,贮存维生素E,空,组织胚胎学,单选,十门联考,B,贮脂细胞存在于窦周隙，在肝脏中主要参与维生素 A 的代谢，储存脂肪
10081,嗜酸性粒细胞的嗜酸性颗粒内含有,组胺酶,碱性磷酸酯、组胺和肝素 ,肝素、组胺和白三烯,组胺酶和芳基硫酸酯酶,空,组织胚胎学,单选,十门联考,D,嗜酸性粒细胞的嗜酸性颗粒中含有一般溶酶体酶以及阳离子蛋白、组 胺酶、芳基硫酸酯酶
10082,用于光镜的组织学切片染色最常用的方法是,醛复红染色法,镀银染色法,HE染色法,瑞氏染色法,空,组织胚胎学,单选,十门联考,C,光镜的组织学切片最常用的染色法是苏木精-伊红染色法，简称 HE 染 色法。而光镜最常用的技术是石蜡切片术
10083,精子的顶体是特殊的,线粒体,滑面内质网,溶酶体,粗面内质网,空,组织胚胎学,单选,十门联考,C,精子的顶体是特殊的溶酶体，含有多种水解酶
10084,厚表皮由表皮到基底依次分为以下五层,角质层 透明层 颗粒层 棘层 基底层,角质层 棘层 透明层 颗粒层 基底层,角质层 颗粒层 透明层 棘层 基底层,角质层 透明层 棘层 颗粒层 基底层,空,组织胚胎学,单选,十门联考,A,表皮结构从基底到表面可以分为基底层、棘层、颗粒层、透明层和角质层五层
10085,支气管哮喘时，与何处平滑肌发生痉挛有关,支气管和小支气管,小支气管和细支气管,细支气管和终末细支气管,呼吸性细支气管和肺泡,空,组织胚胎学,单选,十门联考,C,细支气管和终末支气管壁中的环形平滑肌可以在自主神经的支配下收 缩或者舒张，调节进入肺小叶的气流量
